"muscles_p1-combined.Label-Analysis"
"Length3d","VoxelFaceArea","Volume3d","OrientationPhi","index","Materials"
4.03626,5.40296,0.158744,14.7698,314,""
4.18475,4.09791,0.119624,13.4309,315,""
4.05833,3.11749,0.0752082,13.594,316,""
4.34745,4.46273,0.124902,18.7479,317,""
3.51647,3.16998,0.0751091,11.2167,318,""
3.90014,4.59492,0.120044,9.84862,319,""
4.05131,4.26833,0.106753,11.3839,320,""
3.36333,5.15543,0.133084,12.1946,321,""
3.27405,3.0352,0.0791214,9.413,322,""
3.38696,4.8904,0.150551,10.062,323,""
3.43878,2.75915,0.0643667,9.38748,324,""
3.57603,3.50111,0.0735403,11.1352,325,""
2.52779,1.89214,0.0404209,13.8611,326,""
4.10078,3.6009,0.0880851,14.2886,327,""
4.09307,2.5829,0.051484,19.161,328,""
3.25608,2.46237,0.0603894,9.4471,329,""
3.44984,4.20612,0.0892281,16.4418,330,""
2.47876,1.63748,0.0344432,11.0758,331,""
4.5257,6.12483,0.15833,10.6827,332,""
4.11576,4.58973,0.125882,15.2568,333,""
1.10688,1.09964,0.0193036,7.46192,334,""
3.99096,4.73359,0.161981,15.242,335,""
2.43749,2.13773,0.0371959,11.0988,336,""
3.59761,2.96586,0.0674984,14.5031,337,""
2.94209,2.18179,0.0470868,15.1783,338,""
4.19377,3.52184,0.0895255,10.8053,339,""
3.42558,6.52334,0.269171,15.9957,340,""
4.48486,3.65533,0.0900796,12.092,341,""
3.426,4.50744,0.150708,19.8241,342,""
3.75243,3.2931,0.0841252,13.5678,343,""
3.2663,4.58261,0.192266,19.8205,344,""
2.77369,2.31917,0.0557413,15.8019,345,""
4.39386,4.1005,0.113022,16.5772,346,""
4.55327,5.77232,0.192674,17.0971,347,""
4.52255,7.93791,0.366978,19.4912,348,""
4.45072,3.389,0.0777451,15.2467,349,""
4.70738,5.92201,0.191059,16.5913,350,""
4.43838,2.80257,0.0533444,23.8203,351,""
3.79828,2.70407,0.0577009,23.5421,352,""
1.74619,1.06724,0.0178515,6.7353,353,""
3.24344,1.712,0.0258995,25.5146,354,""
2.88449,2.88616,0.0839444,21.2574,355,""
3.86217,2.39498,0.0445499,13.9471,356,""
3.49806,2.91273,0.0686532,21.8135,357,""
3.1004,3.95988,0.125753,8.78998,358,""
2.48673,1.62905,0.0326353,17.4709,359,""
3.37438,4.30462,0.11129,13.2228,360,""
3.46053,2.37295,0.0483873,15.3005,361,""
