"muscles_p1-final.Label-Analysis---orientation"
"BaryCenterX","BaryCenterY","BaryCenterZ","Length3d","Length3dInputX","Length3dInputY","Length3dInputZ","Length3dOutputX","Length3dOutputY","Length3dOutputZ","LengthOrientPhi","LengthOrientTheta","Volume3d","index"
31.8435,31.2552,36.4279,1.31468,31.8958,31.4098,35.8018,31.6618,31.1398,37.0798,5.72958,180,0.0332885,108
31.6075,30.5648,36.4599,1.8001,31.8778,30.6538,35.5498,31.4458,30.6538,37.2958,5.72958,180,0.034,109
31.4934,30.3917,36.3917,1.92368,31.7518,30.4198,35.4058,31.3378,30.4378,37.2778,5.72958,180,0.0429286,110
31.2453,30.0075,36.391,2.00969,31.5718,30.1318,35.3518,31.0138,29.9698,37.2958,5.72958,180,0.0555664,111
30.6944,30.6662,36.5173,2.26037,30.9598,30.9238,35.2078,30.5818,30.7258,37.4218,5.72958,180,0.0315681,112
30.1971,30.5386,36.1915,2.80132,30.5818,30.8158,34.8478,29.9878,30.5638,37.5838,5.72958,180,0.0764737,113
29.8258,30.5868,36.4212,2.37136,30.0238,30.8338,35.2978,29.7898,30.6898,37.6378,5.72958,180,0.0524055,114
29.8882,30.9166,35.3579,0.454937,29.8978,30.9778,35.1178,29.8438,30.8878,35.5498,5.72958,180,0.00303842,115
29.8943,30.2456,36.4176,2.28181,30.0418,30.7078,35.3698,29.8078,30.2578,37.6198,5.72958,180,0.0359653,116
30.0108,30.2408,36.4135,2.47355,30.4018,30.5098,35.1178,29.8618,30.3478,37.5298,5.72958,180,0.0397619,117
30.5463,30.5577,36.4101,2.61144,30.9238,30.7438,35.0998,30.4378,30.7438,37.6558,5.72958,180,0.0479557,118
30.3966,30.5678,36.2989,2.57389,30.9058,30.6718,34.9378,30.2578,30.5818,37.4398,5.72958,180,0.0404617,119
30.567,30.2563,36.4722,2.58095,30.9238,30.4558,35.0458,30.5638,30.4018,37.5838,5.72958,180,0.0726189,120
30.1087,30.7432,36.4505,2.27109,30.2938,30.9418,35.2258,29.9878,30.7798,37.4578,5.72958,180,0.0325479,121
30.3559,30.767,36.3232,2.22635,30.5998,30.9598,35.2258,30.2038,30.7978,37.4038,5.72958,180,0.0253163,122
30.8156,30.3379,36.5254,1.76195,31.3018,30.3118,35.7838,30.6538,30.5278,37.4398,34.0544,142.221,0.0333643,123
31.2507,30.5437,36.509,1.96001,31.7698,30.6538,35.4058,30.9238,30.6718,37.1698,31.1165,-166.64,0.0260161,124
31.0876,29.8197,36.2897,2.0276,31.4098,29.7718,35.3158,30.8518,29.8618,37.2778,5.72958,180,0.0297194,125
31.1512,29.6278,36.2761,1.71234,31.5538,29.4838,35.5318,30.8518,29.7898,37.0618,34.0544,142.221,0.0194319,126
31.4322,29.4979,36.4372,1.529,31.8598,29.3578,35.8738,31.1398,29.6278,37.1878,34.0544,142.221,0.0252171,127
31.4174,29.7861,36.3147,1.64251,31.6078,29.8978,35.5858,31.1398,29.8258,37.1698,5.72958,180,0.0275616,128
31.3296,30.1961,36.2737,2.06701,31.6078,30.3118,35.3338,31.0138,30.3118,37.3318,5.72958,180,0.0340641,129
30.3857,30.1205,36.1937,2.61324,30.6898,30.3118,34.9378,30.1858,30.1678,37.4938,5.72958,180,0.0710209,130
30.1106,29.7806,35.4661,1.35603,30.1858,30.0238,34.8478,29.9158,29.5378,36.0718,33.0205,-113.838,0.0102467,131
30.3473,29.4008,36.1739,2.74759,30.5818,29.4478,34.8298,29.9878,29.3578,37.5118,5.72958,180,0.118627,132
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,133
31.02,29.2494,36.4121,2.19957,31.4098,29.3578,35.2798,30.7438,29.3038,37.4038,5.72958,180,0.0521022,134
0,0,0,-inf,0,0,0,0,0,0,5.72958,180,0,135
30.9585,28.9932,36.3743,2.23893,31.3738,29.1418,35.2618,30.8518,28.9798,37.4398,5.72958,180,0.0323729,136
30.2316,30.0003,36.2191,2.37114,30.7618,30.2578,35.1538,29.8978,30.0058,37.3498,31.1165,-166.64,0.0226569,137
