"muscles_p1-final.Label-Analysis"
"Volume3d","Length3d","LengthOrientPhi","LengthOrientTheta","index","Materials"
0.125753,3.1004,5.72958,180,353,""
0.0326353,2.48673,27.6049,91.7724,354,""
0.11129,3.37438,5.72958,180,355,""
0.0483873,3.46053,27.6049,91.7724,356,""
0.0990665,3.27225,5.72958,180,357,""
0.0217938,1.50023,27.6049,91.7724,358,""
0.0801129,2.66338,5.72958,180,359,""
0.061684,2.2336,5.72958,180,360,""
0.106228,3.25788,5.72958,180,361,""
0.0350264,2.99468,5.72958,180,362,""
0.00875369,1.12485,5.72958,180,363,""
0.0173324,1.3793,22.6546,29.5546,364,""
0.0172566,1.66418,34.0544,142.221,365,""
0.0264652,2.64906,5.72958,180,366,""
0.0403043,2.41258,5.72958,180,367,""
0.0588672,3.09154,5.72958,180,368,""
0.0273691,2.1135,5.72958,180,369,""
0.102041,2.6974,5.72958,180,370,""
0.0614216,2.81199,5.72958,180,371,""
0.0315214,2.04551,5.72958,180,372,""
0.00491046,0.50254,31.1165,-166.64,373,""
0.0310665,1.67599,31.1165,-166.64,374,""
0.0265352,1.61318,31.1165,-166.64,375,""
0.00974511,1.23929,34.0544,142.221,376,""
0.00661338,0.999429,34.0544,142.221,377,""
0.012072,1.57087,5.72958,180,378,""
0.029836,1.94871,5.72958,180,379,""
0.0224762,1.68372,5.72958,180,380,""
0.0138858,1.18269,34.0544,142.221,381,""
0.0192744,2.16902,5.72958,180,382,""
0.0484631,2.09104,34.0544,142.221,383,""
0.0588731,2.61138,5.72958,180,384,""
0.0390621,2.86218,5.72958,180,385,""
0.065743,3.36606,27.6049,91.7724,386,""
0.061929,2.86925,5.72958,180,387,""
0.0686648,2.46456,27.6049,91.7724,388,""
0.0506326,2.96055,27.6049,91.7724,389,""
0.0100834,1.2302,27.6049,91.7724,390,""
0.0188079,1.90542,27.6049,91.7724,391,""
0.124225,3.54779,27.6049,91.7724,392,""
0.113372,3.69241,27.6049,91.7724,393,""
0.123776,3.96228,27.6049,91.7724,394,""
0.0683441,3.5648,27.6049,91.7724,395,""
0.10435,3.76994,27.6049,91.7724,396,""
0.0981043,4.25299,22.6546,29.5546,397,""
0.169143,3.82778,27.6049,91.7724,398,""
0.151023,3.6778,27.6049,91.7724,399,""
0.0881201,3.6533,27.6049,91.7724,400,""
0.0491163,3.51047,27.6049,91.7724,401,""
0.0534377,3.21799,27.6049,91.7724,402,""
0.0694521,3.06449,27.6049,91.7724,403,""
0.0160027,2.41456,27.6049,91.7724,404,""
0.0488189,2.95503,27.6049,91.7724,405,""
0.102023,3.3365,27.6049,91.7724,406,""
0.0335334,1.87556,27.6049,91.7724,407,""
0.0881434,3.53316,27.6049,91.7724,408,""
0.0922082,4.19718,27.6049,91.7724,409,""
0.07487,3.78589,27.6049,91.7724,410,""
0.0540151,3.2224,27.6049,91.7724,411,""
0.0997489,3.9255,27.6049,91.7724,412,""
0.0589955,3.77008,27.6049,91.7724,413,""
0.0674518,4.24238,27.6049,91.7724,414,""
