,inputPlaneDists,centerPlaneDists,outputPlaneDists,inputTipDists,centerTipDists,outputTipDists,intputTipPointX,intputTipPointY,intputTipPointZ,centerTipPointX,centerTipPointY,centerTipPointZ,outputTipPointX,outputTipPointY,outputTipPointZ
273,180.26092199919538,132.46508974065583,81.25269226308751,164,190,134,1610,941,911,1508,917,884,1443,893,935
274,174.9771413642365,127.78497564267875,94.29209935090002,191,193,134,1583,935,884,1498,915,881,1443,893,935
275,87.23531395025755,139.74619851716898,190.7590102721232,130,132,164,1439,892,939,1530,920,941,1672,956,913
276,187.20042734993956,129.5569372901351,71.449282711585,167,190,135,1673,957,910,1543,926,884,1445,894,935
277,167.2154299100415,110.40380428228005,60.909769331364245,177,193,190,1628,945,898,1519,920,881,1460,904,882
278,174.6453549339346,114.97825881443848,73.43704787094863,170,136,128,1629,946,906,1522,918,937,1439,892,941
279,139.91783303067555,96.78842906050289,44.73253849269008,138,131,76,1575,931,936,1510,915,941,1432,899,996
280,185.34562309372185,131.15258289488622,70.77428911688199,136,132,74,1626,941,938,1522,918,941,1425,898,998
281,95.90620417887469,68.24954212300622,35.566838487557476,75,76,75,1531,919,998,1497,913,997,1459,906,998
282,203.5165840908303,140.75155416548694,101.63168797181321,74,76,74,1505,915,999,1455,905,997,1423,897,998
283,198.55981466550577,139.59226339593465,95.46727187890099,195,193,185,1623,943,880,1519,920,881,1459,902,886
284,202.56850693037157,138.51353724455961,97.26767191621273,343,196,190,1630,981,747,1510,918,878,1460,904,882
285,140.14278433083882,181.66177363441105,229.86517787607588,192,196,192,1460,904,880,1502,916,878,1587,936,883
286,164.63899902513984,216.25447972238632,271.2876701953113,198,198,356,1462,904,874,1537,925,877,1634,988,737
287,271.9577173017894,207.88939366884497,130.6636904422954,358,279,198,1634,989,735,1504,923,798,1462,904,874
288,118.72657663724664,150.53903148353254,188.56829001717122,267,343,358,1495,918,808,1587,969,745,1634,989,735
289,108.28665661105249,90.18869108707588,48.02082881417188,353,268,251,1635,987,739,1527,924,807,1491,913,822
290,53.85164807134504,69.63476143421474,101.7152889196113,253,268,263,1491,913,820,1509,921,807,1574,930,811
291,59.53990258641679,91.84225606985055,131.07631364972087,265,265,273,1495,918,810,1498,919,810,1549,928,802
292,176.8926227969951,130.56033088193365,94.15412895885129,196,197,192,1583,935,879,1506,917,877,1460,904,880
293,53.41348144429457,84.84102781084161,119.10079764636339,190,193,186,1460,904,882,1506,917,881,1566,930,888
294,84.4866853415377,61.35144660071187,30.54504869860253,176,146,171,1577,932,898,1527,918,926,1463,898,899
295,40.80441152620633,66.4304147209695,93.9095309327014,267,274,337,1495,918,808,1519,924,802,1586,965,750
296,44.14748010928823,96.6229786334493,129.9269025259973,271,282,343,1496,918,804,1522,926,794,1616,977,747
297,122.1720098876989,105.22832318344715,74.5385806143369,342,273,198,1596,971,747,1525,925,802,1480,909,874
298,108.4850220076486,99.07572861200669,62.976185975335156,342,262,251,1605,974,747,1518,921,812,1491,913,822
299,148.5833099644775,128.5418219880207,85.5277732669336,342,265,192,1588,969,746,1498,919,810,1460,904,880
300,78.70196947980399,128.69343417595164,156.02884348735012,278,273,343,1500,922,798,1543,927,802,1619,978,747
301,74.52516353554684,108.17578287213826,138.64342753985852,265,193,133,1495,918,810,1506,917,881,1542,923,941
302,232.91629397704233,171.2425180847327,111.78550889985696,167,146,130,1673,957,910,1551,925,928,1439,892,939
303,113.24310133513653,164.66329281293994,252.2657329087722,71,73,97,1423,897,1001,1495,913,1000,1693,951,976
304,276.87181149405586,204.40645782362162,118.96217886370441,144,73,71,1628,943,930,1530,919,1000,1425,898,1001
305,215.7985171404104,163.37074401495514,121.42487389328431,73,74,74,1562,925,999,1505,915,999,1448,904,999
306,135.00370365289984,106.70051546267244,80.47981113297918,131,76,74,1510,915,941,1455,905,997,1423,897,998
307,90.598013223249,64.1404708432983,42.40283009422838,132,131,117,1530,920,941,1495,911,941,1438,889,951
308,150.6685103132038,120.33702672078948,99.04039579888602,135,132,130,1510,915,937,1466,902,939,1439,892,939
309,145.7772273024837,118.41030360572512,97.082439194738,131,132,128,1510,915,941,1466,902,939,1439,892,941
310,189.21152184790438,140.52046114356443,88.53247991556545,141,131,74,1566,929,933,1495,911,941,1423,897,998
311,177.51056306597644,127.14558584551806,78.82892870006543,133,74,74,1564,928,941,1485,911,999,1423,897,998
312,134.82581355215328,98.50888284819801,63.85138996137829,74,75,71,1530,919,999,1476,909,998,1423,897,1001
313,101.24228365658294,147.83098457360012,201.94306128213466,69,72,70,1422,896,1003,1476,909,1001,1543,921,1002
314,101.20276676059801,155.4123547212383,235.29130880676405,67,71,70,1421,895,1005,1482,910,1002,1577,927,1002
315,284.76657107181666,214.85111123752654,139.86421987055874,73,73,72,1603,931,999,1530,919,1000,1444,903,1001
316,89.74408058473828,125.6383699353028,177.2512341282847,74,72,72,1423,897,998,1459,906,1001,1506,915,1001
317,67.84541251993387,102.25947388873072,157.20368952413298,57,71,70,1421,892,1013,1482,910,1002,1554,923,1002
318,74.75292636412303,104.16813332300815,147.4143819306651,71,73,73,1423,897,1001,1480,910,1000,1541,921,1000
319,78.03204469959762,95.14725429564429,117.31581308587518,72,73,73,1423,897,1000,1448,904,1000,1485,911,1000
320,99.14131328563285,56.098128311023,23.895606290697042,74,71,64,1551,923,999,1492,912,1002,1428,896,1008
321,13.341664064126334,64.37390775772433,102.22035022440492,63,70,70,1446,900,1009,1517,916,1002,1577,927,1002
322,13.341664064126334,55.31726674375732,93.70699013414101,75,73,73,1432,900,998,1505,915,1000,1568,926,999
323,35.298725189445584,68.9492567037528,96.12491872558333,75,74,73,1432,900,998,1490,912,999,1541,921,1000
324,128.74781551544865,95.37295214053091,70.49113419430843,70,63,37,1527,918,1002,1473,905,1009,1422,886,1031
325,261.37712218172425,174.01149387324966,78.87331614684399,97,70,67,1693,951,976,1543,921,1002,1421,895,1005
326,260.8409477056852,231.7584949899356,200.4993765576342,98,69,70,1716,957,976,1618,933,1002,1565,925,1002
327,141.94365079143202,187.13364208500832,227.778401083158,73,73,98,1530,919,1000,1615,933,999,1716,957,976
328,146.181394164921,104.04806581575652,65.4446330878247,133,76,74,1573,930,941,1492,912,997,1425,898,998
329,155.1934276958918,105.4229576515476,53.563046963368315,73,74,74,1574,927,999,1500,914,999,1425,898,998
330,97.3344748791506,61.40032573203501,30.93541659651604,149,131,129,1560,927,925,1495,911,941,1441,893,941
331,110.7158525234756,78.56844150166147,44.598206241955516,74,74,74,1530,919,999,1480,910,999,1425,898,998
332,74.22263805605402,106.28734637763802,137.17871555019022,76,75,97,1549,922,996,1615,933,997,1693,951,976
333,137.90213921473443,114.65600725648875,102.40117186829455,80,73,71,1663,942,992,1615,933,999,1582,928,1001
334,200.59162494979694,188.61601204563732,174.39323381370048,99,126,73,1693,951,974,1643,942,947,1580,928,999
335,124.15313125330347,141.7321417322126,153.53501229361333,74,75,73,1505,915,999,1541,921,998,1562,925,999
336,136.70771741200275,89.23564310296643,46.24932431938871,73,73,69,1562,925,999,1495,913,1000,1424,897,1003
337,40.85339643163099,15.937377450509228,0.0,76,77,83,1565,925,996,1521,916,995,1488,903,986
338,50.049975024968795,82.15229759416349,125.6383699353028,46,68,70,1424,889,1023,1507,914,1004,1577,927,1002
339,107.96295661012624,82.62566187329455,56.79788728465171,190,191,138,1517,919,884,1482,910,882,1448,894,931
340,84.52810183601665,103.66291525902598,129.56079653969405,74,74,73,1423,897,998,1448,904,999,1495,913,1000
341,151.7003625572464,127.45587471748802,112.55665240224586,197,192,190,1498,915,877,1465,906,881,1460,904,882
342,110.48076755707302,127.7888884058391,151.90128373387765,74,75,75,1423,897,998,1444,903,998,1476,909,998
343,128.00781226159597,145.00689638772357,176.40294782117445,190,190,193,1460,904,882,1462,905,882,1502,916,881
344,404.46631503748245,282.25520367213784,161.55184926208676,136,73,74,1594,935,938,1500,914,1000,1425,898,998
345,221.30070040557936,371.07950630558946,537.5360453030104,72,74,71,1422,896,1000,1425,898,998,1425,898,1001
346,462.680235151665,342.3828266721332,256.58137110866016,352,196,192,1592,975,738,1465,906,877,1460,904,880
347,192.00260414900626,216.48325570353012,266.04698833100895,190,190,193,1460,904,882,1462,905,882,1498,915,881
348,116.16367762773353,93.38629449764028,77.40800992145451,340,198,198,1599,971,748,1507,917,876,1462,904,874
349,114.14464507807627,85.74380444090407,64.28841264178172,73,72,67,1505,915,1000,1459,906,1001,1421,895,1005
350,83.50449089719666,105.53198567259123,127.09445306542689,131,135,136,1443,894,939,1488,909,937,1534,921,937
351,119.06720791217035,72.35329985563892,34.9857113690718,74,73,69,1551,923,999,1490,912,1000,1424,897,1003
352,121.92620719107111,131.83702059740276,149.73309587395835,74,75,76,1423,897,998,1432,900,998,1450,904,997
353,217.00921639414304,161.65085833363213,63.15853069855251,97,73,74,1693,951,976,1562,925,999,1423,897,998
354,181.20430458463176,124.47489706764172,83.73171442171717,70,72,59,1527,918,1002,1459,906,1001,1420,892,1012
355,232.84329494318706,203.74739262135355,181.0414317221337,167,147,134,1673,957,910,1602,938,927,1546,924,940
356,318.84792613407416,253.21334877924585,194.69206455323237,166,133,74,1644,950,910,1564,928,941,1480,910,999
357,97.53460924205315,77.21398836998384,56.859475903318,132,133,128,1514,916,941,1485,908,939,1439,892,941
358,144.8965147959053,131.4115672229808,110.28145809699834,165,75,74,1675,957,912,1609,932,997,1551,923,999
359,345.4127965203374,301.74326835904725,260.954018938203,363,354,325,1605,982,730,1592,975,736,1522,934,754
360,290.7455932598119,318.87615150713293,364.01098884511714,325,325,363,1522,934,754,1522,934,754,1605,982,730
361,259.4166532819356,311.8926097232828,378.4098307391075,325,325,363,1522,934,754,1522,934,754,1605,982,730
362,384.7908522821196,337.764711004569,301.8691769624716,363,354,325,1605,982,730,1592,975,736,1522,934,754
363,358.02932840760405,316.46958779636316,297.20195154137195,363,325,325,1605,982,730,1522,934,754,1522,934,754
364,303.5753613190636,337.6299749726022,409.45085175146477,325,325,363,1522,934,754,1522,934,754,1605,982,730
365,268.3542434916951,291.98801345260733,330.1726820922652,279,325,325,1499,921,797,1522,934,754,1524,935,755
366,252.7231687044146,308.15742729974886,377.82270974625123,279,323,362,1499,921,797,1522,934,756,1607,983,731
367,373.26666071322256,318.7867625859016,269.00371744643235,362,325,325,1607,983,731,1524,935,755,1522,934,754
368,370.47671991638015,299.7482276845019,242.4664925304113,362,323,279,1607,983,731,1522,934,756,1499,921,797
369,137.55362590640786,136.15799645999496,155.12897859523216,279,282,283,1499,921,797,1502,923,795,1505,924,794
370,124.47489706764172,165.9698767849154,195.04102132628407,265,272,354,1495,918,810,1527,925,803,1632,987,738
371,101.84792585025971,71.20393247567159,50.813384063650005,195,197,192,1533,924,879,1498,915,877,1460,904,880
372,97.77525249264254,51.87484939737175,16.673332000533065,76,76,88,1549,922,996,1502,914,997,1447,892,981
373,76.36753236814714,48.55924216871593,16.09347693943108,75,76,80,1541,921,998,1497,913,997,1447,900,992
374,87.25250712730265,53.04714883949938,22.293496809607955,133,77,83,1542,923,941,1491,911,995,1442,896,988
375,70.14271166700073,47.46577714522327,25.03996805109783,134,131,119,1546,924,940,1503,913,941,1453,894,950
376,57.56735185849702,35.608987629529715,10.295630140987,132,121,117,1534,921,941,1502,909,950,1458,895,952
377,102.41093691593686,70.5620294492725,30.14962686336267,176,142,135,1577,932,898,1513,915,930,1458,899,935
378,25.787593916455254,54.08326913195984,78.44106067615353,145,142,145,1453,894,924,1517,916,930,1563,928,929
379,50.15974481593781,30.364452901377952,5.744562646538029,136,133,136,1530,920,937,1499,912,939,1459,899,934
380,50.85272854036448,25.019992006393608,5.830951894845301,75,77,88,1522,917,997,1486,910,995,1443,891,981
381,52.1344415909483,28.053520278211074,0.0,76,76,81,1539,920,996,1492,912,997,1438,895,989
382,56.929781309961136,35.679125549822544,15.748015748023622,70,68,45,1527,918,1002,1492,911,1004,1443,892,1024
383,5.477225575051661,28.861739379323623,48.67237409455183,76,74,72,1438,901,997,1485,911,999,1515,916,1000
384,24.06241883103193,48.11444689487763,71.42828571371429,32,28,56,1437,888,1036,1493,897,1039,1536,913,1014
385,73.70210309075311,45.67274898667694,18.867962264113206,66,17,9,1550,920,1006,1499,896,1050,1446,884,1058
386,92.64987857520376,59.20304046246274,17.204650534085253,146,133,129,1555,926,928,1506,914,939,1457,899,941
387,101.3755394560246,67.26812023536856,34.36568055487916,132,76,79,1526,919,941,1482,910,997,1440,899,993
388,121.28066622508305,86.13361713059541,42.08325082500163,141,132,131,1566,929,933,1514,916,941,1443,894,939
389,115.60709320798617,83.19254774317228,40.93897898091744,149,136,135,1574,931,925,1514,916,937,1458,899,935
390,133.1277581873893,111.0,99.88993943335835,196,192,192,1469,907,877,1462,905,880,1460,904,880
391,138.55323886506588,160.77624202599088,175.66160650523494,279,198,342,1504,923,798,1542,926,877,1596,971,747
392,133.64505228402584,132.89469515371937,114.51200810395389,343,282,283,1587,969,745,1522,926,794,1505,924,794
393,155.9615337190552,146.87749997872376,143.87147041717478,342,341,198,1605,974,747,1593,970,747,1543,926,876
394,182.46643526961336,160.1280737409902,108.83014288330233,362,343,282,1607,983,731,1587,969,745,1502,923,795
395,115.15641536623133,142.11614968046382,163.52675622050356,282,284,325,1502,923,795,1505,924,793,1524,935,755
396,241.78709642989637,221.54006409676782,193.05180651835403,359,358,352,1621,986,734,1606,982,734,1592,975,738
397,236.1524931056202,215.3810576629245,196.85781671043696,356,342,195,1634,988,737,1605,974,747,1569,932,880
398,228.71379494905855,255.180328395431,297.07574791625115,198,192,166,1537,925,877,1587,936,883,1644,950,910
399,249.7318561978027,215.64322386757252,193.82724266727834,167,173,194,1673,957,910,1610,941,902,1565,931,881
400,132.18169313486644,152.52540771950095,167.97916537475712,196,196,197,1473,908,877,1510,918,878,1541,926,878
401,203.1698796573941,177.81169815284932,157.28318409798297,282,265,198,1502,923,795,1495,918,810,1462,904,874
402,227.34555196880365,196.3389925613351,167.40669042783207,325,278,278,1524,935,755,1500,922,798,1500,922,798
403,150.6685103132038,165.71662559924397,196.27786426390523,267,278,283,1495,918,808,1500,922,798,1505,924,794
404,139.8070098385628,151.04304022363957,180.07498438150702,267,278,283,1495,918,808,1500,922,798,1505,924,794
405,236.8564966387876,201.5365971728212,175.22842235208304,362,325,279,1607,983,731,1524,935,755,1499,921,797
406,178.0056178888745,214.14714567324964,252.43811122728675,279,278,325,1499,921,797,1500,922,798,1524,935,755
407,101.9803902718557,133.36791218280356,165.81917862539302,323,343,362,1522,934,756,1587,969,745,1632,990,732
408,145.57472308062276,172.45869070591948,198.88438852760666,278,343,364,1500,922,798,1587,969,745,1633,991,730
409,198.15650380444242,186.27130750601393,148.6371420607918,364,352,323,1633,991,730,1592,975,738,1522,934,756
410,245.89021940695406,213.7030650224746,194.4505078419699,362,354,325,1607,983,731,1592,975,736,1522,934,754
411,206.81634364817495,175.8038679893022,124.22962609619333,362,354,325,1607,983,731,1592,975,736,1522,934,754
412,229.76074512413996,188.05318396666408,141.58389738949836,362,354,325,1607,983,731,1592,975,736,1522,934,754
413,145.9588983241515,187.92285651298513,221.46331524656628,325,354,363,1522,934,754,1592,975,736,1605,982,730
414,194.3064589765353,178.8798479426903,167.57983172207807,354,354,325,1592,975,736,1592,975,736,1524,935,755
415,201.9356333092305,175.86642658563346,142.75153239107453,362,354,325,1607,983,731,1592,975,736,1522,934,754
416,242.91150652037874,193.25113195011303,146.8945199794737,362,354,325,1607,983,731,1592,975,736,1522,934,754
417,155.5313473226539,185.9919353090343,227.0704736419951,326,354,362,1523,934,753,1592,975,736,1607,983,731
