"muscles_p1-dorsal.Label-Analysis---dorsal"
"Volume3d","Length3d","index","Materials"
0,-inf,275,""
0,-inf,276,""
0.187857,5.01292,277,""
0,-inf,278,""
0,-inf,279,""
0,-inf,280,""
0,-inf,281,""
0,-inf,282,""
0,-inf,283,""
0,-inf,284,""
0,-inf,285,""
0,-inf,286,""
0,-inf,287,""
0,-inf,288,""
0,-inf,289,""
0,-inf,290,""
0.0945585,4.0502,291,""
0.175138,4.65766,292,""
0,-inf,293,""
0,-inf,294,""
0,-inf,295,""
0,-inf,296,""
0,-inf,297,""
0,-inf,298,""
0,-inf,299,""
0,-inf,300,""
0,-inf,301,""
0.164512,3.81126,302,""
0.262511,5.08455,303,""
0.171557,4.78414,304,""
0.156301,4.88124,305,""
0.247646,4.64941,306,""
0.192488,4.34118,307,""
0.121216,4.45222,308,""
0.0795763,4.41208,309,""
0.0949084,4.37644,310,""
0.158744,4.03626,311,""
0.119624,4.18475,312,""
0.0752082,4.05833,313,""
0.124902,4.34745,314,""
0.0751091,3.51647,315,""
0.120044,3.90014,316,""
0.106753,4.05131,317,""
0.132787,3.36333,318,""
0.0791214,3.27405,319,""
0.150551,3.38696,320,""
0.0643667,3.43878,321,""
0.0735403,3.57603,322,""
0.0880851,4.10078,323,""
0.051484,4.09307,324,""
0.0603894,3.25608,325,""
0.0892281,3.44984,326,""
0.0344432,2.47876,327,""
0,-inf,328,""
0,-inf,329,""
0.0193036,1.10688,330,""
0,-inf,331,""
0.0371959,2.43749,332,""
0,-inf,333,""
0,-inf,334,""
0,-inf,335,""
0,-inf,336,""
0,-inf,337,""
0,-inf,338,""
0,-inf,339,""
0.0557413,2.77369,340,""
0.113022,4.39386,341,""
0.192674,4.55327,342,""
0.366978,4.52255,343,""
0.0777451,4.45072,344,""
0.191059,4.70738,345,""
0.0533444,4.43838,346,""
0.0577009,3.79828,347,""
0.0178515,1.74619,348,""
0.0258995,3.24344,349,""
0.0839444,2.88449,350,""
0.0445499,3.86217,351,""
0.0686532,3.49806,352,""
0.125753,3.1004,353,""
