"muscles_p1-final.Label-Analysis"
"Volume3d","Flatness","FirstPointZ","FeretShape3d","index"
0.139464,0.419364,412,12.1544,534
0.0763863,0.306438,426,8.25928,535
0.0587039,0.281207,455,8.83183,536
0.0249197,0.691625,415,6.39196,537
0.076707,0.666303,453,9.62864,538
0.0642792,0.519068,452,10.8408,539
0.0991015,0.60937,446,10.8344,540
0.069353,0.643809,443,12.1416,541
0.0658247,0.90512,481,8.23154,542
0.0507492,0.44041,425,9.19774,543
0.0521955,0.406575,403,10.5797,544
0.0439142,0.255092,418,9.20537,545
0.0379424,0.227014,380,12.3286,546
0.0445091,0.235545,381,13.5649,547
0.0126202,0.363435,380,5.60788,548
0.0380707,0.407038,412,9.25191,549
0.038164,0.386758,471,3.39359,550
0.0376858,0.554665,403,7.76516,551
0.0392079,0.416015,398,7.39224,552
0.0390446,0.395494,414,8.52361,553
0.03074,0.746156,403,9.12205,554
0.0342158,0.560022,418,8.6375,555
0.0512449,0.473302,426,6.48025,556
0.025048,0.552041,486,4.89924,557
0.0317256,0.446654,398,8.06899,558
0.0492388,0.566367,341,7.36316,559
0.0430803,0.43146,377,7.31494,560
0.0483523,0.530539,384,5.60538,561
0.0222604,0.22256,399,8.82108,562
0.0361286,0.0926109,382,6.22384,563
0.0307108,0.353012,378,8.73936,564
0.0417739,0.679807,382,6.04409,565
0.0505859,0.364687,419,6.81763,566
0.0231352,0.512399,424,7.03182,567
0.0209832,0.255621,417,7.55127,568
0,-1,-2,nan,569
0.0161427,0.787239,459,5.81455,570
0.0118679,0.181434,469,6.12909,571
0.00698662,0.455588,500,4.44038,572
0.0311307,0.528122,396,9.22198,573
0.0360878,0.214208,373,5.79694,574
0.0229077,0.192008,396,8.53627,575
0.0196768,0.362797,366,6.28691,576
0.0280748,0.314055,345,6.05807,577
0.099189,0.328148,374,6.58616,578
0,-1,-2,nan,579
0.0593338,0.545185,510,8.75381,580
0.126739,0.709472,453,8.79347,581
0.0674518,0.478852,537,6.47422,582
0.0568319,0.362967,562,4.65567,583
0.0473726,0.488642,532,5.9291,584
0.0238117,0.377846,580,4.84168,585
0.0256837,0.152396,568,5.77741,586
0.101417,0.614519,562,6.96276,587
0.101207,0.489512,607,5.2435,588
0.046976,0.520188,636,5.61966,589
0.0657664,0.622798,554,6.46407,590
0.0735053,0.737208,539,6.72277,591
0.05454,0.808142,545,5.90026,592
0.101825,0.294283,528,8.38435,593
0.0440659,0.737281,578,7.12009,594
0.0976144,0.829286,507,7.38693,595
0.0743859,0.693516,533,7.75674,596
0.0237067,0.491632,558,5.56462,597
0.0332535,0.842626,586,5.08667,598
0.0274216,0.177242,572,5.55355,599
0.031743,0.393472,586,8.07107,600
0.0476583,0.300787,621,6.70986,601
0.0469585,0.239691,592,4.46011,602
0.0832679,0.236051,547,5.50013,603
0.0147139,0.676609,631,4.57898,604
0.0129702,0.325769,653,2.75826,605
0.0106374,0.220709,629,4.09729,606
0.0423863,0.763885,544,6.97174,607
0.124785,0.805204,477,6.8856,608
0.082084,0.359199,533,6.62595,609
0.0941386,0.825549,440,9.68744,610
0.0407708,0.765908,494,7.5772,611
0.0512274,0.436072,443,9.37318,612
0.0946751,0.520726,421,9.89295,613
0.0493962,0.879911,514,5.50906,614
0.0564645,0.356522,439,11.4503,615
0.0408875,0.425878,423,12.3233,616
0.0460895,0.444843,620,4.70767,617
0.0315214,0.285019,552,6.82748,618
0.0938645,0.439497,619,7.4104,619
0.0914151,0.46155,596,7.38219,620
0.136968,0.357324,629,5.26977,621
0.0412899,0.451625,607,4.92758,622
0,-1,-2,nan,623
0,-1,-2,nan,624
0,-1,-2,nan,625
0.0144398,0.86814,526,6.1942,626
0.0674693,0.191799,420,6.36563,627
0.0546158,0.766894,510,7.09643,628
0.0654398,0.543619,531,5.89764,629
0.0683499,0.267274,468,9.97479,630
0.0456113,0.656617,466,7.80577,631
0.0262202,0.280185,498,8.89299,632
0.0275266,0.675254,533,4.55751,633
0.133201,0.449936,620,7.43043,634
